44.82 32.34
53.54 30.47
48.07 32.25
50.12 34.24
42.66 34.98
54.55 34.58
44.98 30.13
53.65 30.61
44.66 36.33
56.65 28.43
45.45 36.53
48.56 33.66
44.54 30.53
51.57 33.12
47.96 32.64
45.51 35.49
46.34 31.83
48.48 32.21
42.91 33.14
55.81 29.71
51.13 33.81
49.71 30.83
59.42 32.55
52.12 33.48
47.29 28.83
42.74 28.49
42.47 34.71
47.62 26.42
51.99 33.01
43.92 33.82
47.57 34.29
45.73 37.62
49.04 38.80
53.52 32.16
44.56 32.23
40.99 32.11
45.11 32.84
45.05 32.01
49.85 32.44
42.73 34.57
49.21 33.38
41.98 30.70
44.66 33.53
46.85 34.04
47.72 35.66
49.36 32.74
48.44 37.53
48.17 39.30
47.56 27.83
52.91 28.72
51.06 34.29
47.82 30.28
47.08 40.25
46.41 35.85
46.71 34.41
47.84 37.40
54.48 37.63
47.14 38.30
50.59 30.14
54.60 34.26
53.92 41.38
49.76 33.63
38.82 37.97
41.33 33.66
44.16 38.06
41.71 35.33
43.63 28.90
46.70 36.47
54.25 28.26
49.24 37.11
53.66 32.40
47.87 30.89
34.30 32.51
48.06 30.22
41.17 25.29
49.34 37.06
51.73 28.42
51.84 33.11
46.22 38.49
44.57 33.93
45.56 31.15
47.39 40.47
45.39 36.08
49.57 32.81
51.55 34.72
50.79 32.51
53.50 31.16
52.17 30.82
50.96 37.20
49.14 33.28
54.09 32.36
47.79 38.80
46.67 38.41
44.57 29.73
52.81 26.00
44.57 32.19
45.92 26.80
53.73 32.63
51.08 37.22
49.79 30.42
45.04 29.74
54.58 37.71
49.34 32.92
42.15 33.27
41.44 29.56
45.09 33.25
46.23 30.98
45.57 33.03
46.73 32.97
51.88 33.72
51.31 33.16
53.65 31.96
45.93 37.94
48.82 32.61
48.17 33.53
49.11 36.53
42.58 36.23
46.59 30.04
48.89 36.74
49.85 34.22
46.16 34.48
52.00 32.56
47.02 39.34
55.19 33.62
54.07 31.48
50.09 33.72
57.70 25.96
47.44 34.01
43.69 38.11
48.34 30.81
49.95 33.39
50.72 30.54
51.86 34.95
41.74 32.73
46.35 27.16
55.93 37.73
45.93 32.50
43.03 36.08
47.44 35.95
44.48 37.53
50.54 36.99
38.48 29.78
39.22 32.41
46.50 30.41
56.01 30.10
40.98 34.34
47.06 36.06
47.14 28.92
49.33 33.41
55.92 27.44
46.01 32.98
51.69 33.29
55.09 31.14
50.72 32.80
43.95 31.70
52.36 32.32
47.33 31.43
51.39 31.34
59.29 35.10
46.81 37.07
53.96 30.79
50.22 31.13
48.94 33.11
42.81 37.41
46.66 34.16
43.72 34.57
42.28 35.92
45.71 37.53
53.60 32.55
44.06 25.53
46.17 31.28
43.34 36.46
39.42 33.41
45.71 30.54
49.90 35.67
47.80 33.36
46.71 27.38
41.40 35.37
52.04 33.86
48.86 37.75
44.34 35.96
52.72 35.60
43.97 30.27
45.50 36.73
43.38 32.50
50.43 36.54
45.19 29.88
43.15 33.82
42.79 30.28
40.49 36.64
41.40 33.50
49.54 36.93
54.10 30.95
53.06 30.15
47.75 31.87
